姓名,性别,民族,出生地,出生日期,毕业院校,专业背景,担任职务,年龄
乙晓光,男,汉族,江苏,1958-06-01 00:00:00,空军保定学校,军人,中国共产党中央军事委员会联合参谋部副参谋长,59.0
丁来杭,男,汉族,浙江,1957-09-01 00:00:00,空军第九航空学校,军人,中国人民解放军空军司令员,60.0
丁学东,男,汉族,江苏,1960-02-01 00:00:00,中南财经政法大学,财政学,国务院副秘书长、央行货币政策委员会委员,57.0
丁薛祥,男,汉族,江苏,1962-09-01 00:00:00,复旦大学,行政管理,"中央政治局委员、中央书记处书记,中央办公厅主任兼国家主席办公室主任,中央直属机关工委书记",55.0
于伟国,男,汉族,山东,1955-10-01 00:00:00,中国人民大学,中国文学,福建省委书记、省长,62.0
于忠福,男,汉族,山东,1956-07-01 00:00:00,华中师范大学,军人,中国人民解放军空军政委,61.0
万立骏,男,汉族,辽宁,1957-07-01 00:00:00,大连理工大学、日本东北大学,工学博士,"中国侨联主席,中国侨联党组书记,中国科学技术大学党委副书记,中国侨联特聘专家委员会主任委员,中国科学院侨联主席,中国科学院院士,发展中国家科学院院士,中国科学院分子纳米结构与纳米技术重点实验室主任,中国科学院化学研究所学术委员会主任",60.0
习近平,男,汉族,陕西,1953-06-01 00:00:00,清华大学,法学博士,"中国共产党中央委员会总书记,中共中央军事委员会主席,中华人民共和国主席,中华人民共和国中央军事委员会主席",64.0
马飚,男,壮族,广西,1954-08-01 00:00:00,中央民族学院,政治经济学,"中国共产党第十九届中央委员会委员,十二届全国政协副主席",63.0
马兴瑞,男,汉族,山东,1959-10-01 00:00:00,哈尔滨工业大学,工学博士,"广东省委副书记,省长、省政府党组书记",58.0
王宁,男,汉族,山东,1955-08-01 00:00:00,,军人,武警部队司令员、中央政法委委员,62.0
王军,男,汉族,河南,1958-11-01 00:00:00,北京大学,法学博士,国家税务总局党组书记、局长,59.0
王勇,男,汉族,辽宁,1955-12-01 00:00:00,哈尔滨工业大学,工学硕士,中国共产党第十九届中央委员会委员、国务委员、国务院党组,62.0
王晨,男,汉族,北京,1950-12-01 00:00:00,中国社会科学院,文学硕士,"中央政治局委员,十二届全国人大常委会副委员长兼秘书长、党组成员、机关党组书记",67.0
王毅,男,汉族,北京,1953-10-01 00:00:00,北京第二外国语学院,"经济学硕士,国际关系学博士","中国共产党第十九届中央委员会委员,中央外事工作领导小组成员,中华人民共和国外交部部长、党委副书记",64.0
王小洪,男,汉族,福建,1957-07-01 00:00:00,中央党校,经济管理,"中国共产党第十九届中央委员会委员,公安部副部长、党委委员,北京市副市长、市公安局党委书记、局长",60.0
王玉普,男,汉族,辽宁,1956-10-01 00:00:00,中国石油大学,工学博士,"中国共产党第十九届中央委员会委员,国家安全生产监督管理总局党组书记、局长",61.0
王正伟,男,回族,宁夏,1957-06-01 00:00:00,中央民族大学,法学博士,"中国共产党第十九届中央委员会委员,十二届全国政协副主席",60.0
王东明,男,汉族,辽宁,1956-07-01 00:00:00,中央党校、辽宁大学,哲学学士,"中国共产党第十九届中央委员会委员,四川省委书记、省人大常委会主任",61.0
王东峰,男,汉族,陕西,1958-02-01 00:00:00,西安交通大学,经济学硕士,河北省委书记,59.0
王尔乘,男,汉族,辽宁,1955-10-01 00:00:00,北京师范大学、中欧国际工商学院,工商管理硕士,"中国共产党第十九届中央委员会委员,全国社会保障基金理事会党组书记、副理事长",62.0
王志民,男,汉族,福建,1957-04-01 00:00:00,福建师范大学,经济学博士,"中国共产党第十九届中央委员会委员,中央人民政府驻香港特别行政区联络办公室主任",60.0
王志刚,男,汉族,安徽,1957-10-01 00:00:00,西北电讯工程学院,信息论专业,"中国共产党第十九届中央委员会委员,科学技术部党组书记、副部长",60.0
王沪宁,男,汉族,山东,1955-10-01 00:00:00,复旦大学,法学硕士,"中央政治局常委、中央书记处书记,中央政策研究室主任,中央全面深化改革领导小组办公室主任",62.0
王国生,男,汉族,山东,1956-05-01 00:00:00,"山东大学,山东省委党校",政治学专业,"十九届中央委员,青海省委书记、省人大常委会主任",61.0
王建军,男,汉族,湖北,1958-06-01 00:00:00,中央党校,研究生学历,"中国共产党第十九届中央委员会委员,青海省委副书记、省长,省政府党组书记",59.0
王建武,男,汉族,河南,1958-08-01 00:00:00,,,"西藏军区政委,中国共产党第十九届中央委员会委员",59.0
王晓东,男,汉族,江西,1960-01-01 00:00:00,中央党校,哲学学士,"湖北省委副书记,省政府省长、党组书记,湖北省总河湖长兼任长江河长",57.0
王晓晖,男,汉族,吉林,1905-05-15 00:00:00,吉林大学,法学硕士,"中国共产党第十九届中央委员会委员,中央宣传部副部长、中央政策研究室常务副主任",55.0
王家胜,男,汉族,辽宁,1955-01-01 00:00:00,国防科学技术大学,电子技术,"中国共产党第十九届中央委员会委员,中国人民解放军火箭军政治委员",62.0
王蒙徽,男,汉族,江苏,1960-01-01 00:00:00,清华大学,工学博士,"中国共产党第十九届中央委员会委员,住房和城乡建设部党组书记、部长",57.0
尤权,男,汉族,河北,1954-01-01 00:00:00,中国人民大学,经济学硕士,"中央书记处书记,中央统战部部长,福建省人大常委会主任",63.0
车俊,男,汉族,安徽,1955-07-01 00:00:00,中央党校,中央党校大学学历,"中国共产党第十九届中央委员会委员,浙江省委书记、省人大常委会主任",62.0
尹力,男,汉族,山东,1962-08-01 00:00:00,俄罗斯医学科学院,医学博士,"中国共产党第十九届中央委员会委员,四川省委副书记、省长",55.0
巴音朝鲁,男,蒙古族,内蒙古,1955-10-01 00:00:00,吉林大学,经济学硕士,"中国共产党第十九届中央委员会委员,吉林省委书记、省人大常委会主任",62.0
巴特尔,男,蒙古族,辽宁,1955-02-01 00:00:00,复旦大学,经济学硕士,"中国共产党第十九届中央委员会委员,中央统战部副部长,国家民族事务委员会主任、党组书记",62.0
艾力更·依明巴海,男,维吾尔族,新疆,1953-09-01 00:00:00,西北轻工学院,轻工二系硅酸盐专业,"中国共产党第十九届中央委员会委员,十二届全国人大常委会副委员长",64.0
石泰峰,男,汉族,山西,1956-09-01 00:00:00,北京大学,法学硕士,"中国共产党第十九届中央委员会委员,宁夏回族自治区党委书记,区人大常委会党组书记、主任,宁夏自治区总河长",61.0
布小林,女,蒙古族,内蒙古,1958-08-01 00:00:00,"北京大学,吉林大学",法学博士,"中国共产党第十九届中央委员会委员,内蒙古自治区党委副书记,自治区主席、政府党组书记",59.0
卢展工,男,汉族,浙江,1952-05-01 00:00:00,哈尔滨建筑工程学院,建筑工程系工业与民用建筑专业,"中国共产党第十九届中央委员会委员,十二届全国政协副主席",65.0
白春礼,男,满族,辽宁,1953-09-01 00:00:00,中国科学院,中国科学院院士,"中国共产党第十九届中央委员会委员,中国科学院院长,党组书记,学部主席团执行主席,发展中国家科学院院长",64.0
吉炳轩　,男,汉族,河南,1951-11-01 00:00:00,郑州大学,中文,"中国共产党第十九届中央委员会委员,十二届全国人大常委会副委员长",66.0
毕井泉,男,汉族,黑龙江,1955-09-01 00:00:00,"中央党校,北京大学",工商管理硕士,"中国共产党第十九届中央委员会委员,国家食品药品监督管理总局局长、党组书记",62.0
曲青山,男,汉族,山东,1957-05-01 00:00:00,陕西师范大学,"历史学学士,教授","中国共产党第十九届中央委员会委员,中共中央党史研究室主任、中国中共党史学会副会长",60.0
朱生岭,男,汉族,江苏,1957-11-01 00:00:00,解放军陆军指挥学院,军事学硕士,"中国共产党第十九届中央委员会委员,武警部队政委",60.0
刘奇,男,汉族,山东,1957-09-01 00:00:00,西安交通大学,经济学博士,"中国共产党第十九届中央委员会委员,江西省委副书记,省人民政府省长、党组书记",60.0
刘雷,男,汉族,山东,1957-01-01 00:00:00,,,中国人民解放军陆军政委,60.0
刘鹤,男,汉族,河北,1952-01-01 00:00:00,中国人民大学,经济学、公共管理硕士,"中央政治局委员,中央财经领导小组办公室主任,国家发展和改革委员会副主任、党组副书记",65.0
刘士余,男,汉族,江苏,1961-11-01 00:00:00,清华大学,管理科学与工程专业硕士、技术经济学博士,"中国证券监督管理委员会主席、党委书记,货币政策委员会委员",56.0
刘万龙,男,汉族,山东,,,,新疆军区司令员,
刘奇葆,男,汉族,安徽,1953-01-01 00:00:00,吉林大学,经济学硕士,中国共产党第十九届中央委员会委员,64.0
刘国中,男,汉族,黑龙江,1962-07-01 00:00:00,华东工程学院,工学硕士,"中国共产党第十九届中央委员会委员,吉林省委副书记,省长、省政府党组书记,吉林省总河长",55.0
刘国治,男,汉族,辽宁,1960-11-01 00:00:00,清华大学,物理博士,军委科技委主任,57.0
刘金国,男,汉族,河北,1955-04-01 00:00:00,中央党校,经济管理专业,中央纪委副书记,62.0
刘结一,男,汉族,北京,1957-12-01 00:00:00,北京外国语学院,研究生,中共中央台办、国务院台办副主任,60.0
刘振立,男,汉族,河北,1964-08-01 00:00:00,国防大学,军事学硕士,中国人民解放军陆军参谋长,53.0
刘家义,男,汉族,重庆,1956-08-01 00:00:00,西南财经大学,经济学博士,山东省委书记、省人大常委会主任,61.0
刘赐贵,男,汉族,福建,1955-09-01 00:00:00,中央党校,中央党校研究生,"海南省委书记,省人大常委会主任、党组书记",62.0
刘粤军　,男,汉族,山东,1954-09-01 00:00:00,中共中央党校,经济管理专业,中国人民解放军东部战区司令员,63.0
齐扎拉,男,藏族,云南,1958-08-01 00:00:00,中央党校,中央党校研究生,西藏自治区党委副书记、区政府主席、党组书记,59.0
安兆庆,男,锡伯族,辽宁,1957-05-01 00:00:00,,,中央军委装备发展部政治委员,60.0
许勤,男,汉族,江苏,1961-10-01 00:00:00,香港理工大学,管理学博士,"河北省委副书记,省政府省长、党组书记,北京2022年冬奥会和冬残奥会组委会执行主席、党组副书记",56.0
许又声,男,汉族,福建,1957-08-01 00:00:00,厦门大学,文学学士,国务院侨务办公室党组书记、副主任,60.0
许达哲,男,汉族,湖南,1956-09-01 00:00:00,哈尔滨工业大学,"工学硕士,研究员,国际宇航科学院院士","湖南省委副书记,省人民政府省长、党组书记",61.0
许其亮,男,汉族,山东,1950-03-01 00:00:00,空军第五航空学校,军人,"中央政治局委员,中共中央军事委员会副主席,中华人民共和国中央军事委员会副主席,空军上将军衔",67.0
阮成发,男,汉族,湖北,1957-10-01 00:00:00,华中师范大学,在职博士研究生学历,"云南省委副书记,省政府省长、党组书记",60.0
孙志刚,男,汉族,河南,1954-05-01 00:00:00,武汉大学,经济学博士,贵州省委书记,63.0
孙金龙,男,汉族,湖北,1962-01-01 00:00:00,中国人民大学,经济学博士,"新疆维吾尔自治区党委副书记,新疆生产建设兵团党委书记、政委,中国新建集团公司董事长,中央新疆工作协调小组成员（正部长级）,新疆副总河长,新疆生产建设兵团总河长",55.0
孙绍骋,男,汉族,山东,1960-07-01 00:00:00,"山东大学,北京大学",法学博士学位,国土资源部党组书记、副部长,57.0
孙春兰,女,汉族,河北,1950-05-01 00:00:00,中央党校,中央党校研究生,中央政治局委员,67.0
杜家毫,男,汉族,浙江,1955-07-01 00:00:00,中央党校,"工商管理硕士,高级经济师、高级政工师",湖南省委书记、省人大常委会主任,62.0
李屹,男,汉族,四川,1960-02-01 00:00:00,中国社会科学院研究生院,在职研究生,中国文学艺术界联合会党组书记、副主席、书记处书记,57.0
李希,男,汉族,甘肃,1956-10-01 00:00:00,"西北师范学院,清华大学",高级管理人员工商管理硕士,"中央政治局委员,广东省委书记,辽宁省人大常委会主任",61.0
李斌,女,汉族,辽宁,1954-10-01 00:00:00,吉林大学,经济学博士,国家卫生和计划生育委员会主任、党组书记,63.0
李强,男,汉族,浙江,1959-07-01 00:00:00,中央党校,"中央党校研究生学历,高级管理人员工商管理硕士学位","中央政治局委员,上海市委书记,江苏省人大常委会主任",58.0
李干杰,男,汉族,湖南,1964-11-01 00:00:00,清华大学,"工学硕士学位,高级工程师",环境保护部党组书记、部长,53.0
李小鹏,男,汉族,四川,1959-06-01 00:00:00,中央党校,"大学学历,高级工程师",交通运输部部长、党组副书记,58.0
李凤彪,男,汉族,河北,1959-10-01 00:00:00,国防大学,"战略学专业毕业,研究生学历",中国人民解放军中部战区副司令员兼参谋长,58.0
李玉赋,男,汉族,江苏,1954-10-01 00:00:00,北京大学,经济学博士,中华全国总工会党组书记、副主席、书记处第一书记,63.0
李传广,男,汉族,山东,1961-03-01 00:00:00,,,中国人民解放军火箭军参谋长,56.0
李纪恒,男,汉族,广西,1957-01-01 00:00:00,中国社会科学院,"管理学博士,高级经济师","内蒙古自治区党委书记,自治区人大常委会主任、党组书记",60.0
李克强,男,汉族,安徽,1955-07-01 00:00:00,北京大学,法学学士、经济学博士学位,"中央政治局常委,国务院总理、党组书记",62.0
李作成,男,汉族,湖南,1953-10-01 00:00:00,广西师范大学,"马克思主义理论与思想政治教育专业毕业,研究生学历","中国共产党中央军事委员会委员,中国共产党中央军事委员会联合参谋部参谋长",64.0
李尚福,男,汉族,四川,1958-02-01 00:00:00,国防科技大学,,中央军委装备发展部部长,59.0
李国英,男,汉族,河南,1963-12-01 00:00:00,东北师范大学,理学博士,"安徽省委副书记,省人民政府省长、党组书记,安徽省总河长",54.0
李桥铭,男,汉族,河南,1961-04-01 00:00:00,,,中国人民解放军北部战区司令员,56.0
李晓红,男,汉族,重庆,1959-06-01 00:00:00,"重庆大学,加州大学伯克利分校",中国工程院院士,中国工程院党组书记,58.0
李鸿忠,男,汉族,山东,1956-08-01 00:00:00,吉林大学,"大学学历,经济师","中央政治局委员,天津市委书记",61.0
李锦斌,男,汉族,四川,1958-02-01 00:00:00,吉林大学,法学博士,"安徽省委书记,省人大常委会主任、党组书记,安徽省总河长",59.0
杨学军,男,汉族,山东,1963-04-01 00:00:00,解放军通信工程学院,工学博士、中国科学院院士,中国人民解放军军事科学院院长,54.0
杨洁篪,男,汉族,上海,1950-05-01 00:00:00,南京大学,历史学博士,"中央政治局委员,国务委员、国务院党组成员,中央外事工作领导小组办公室主任,中央维护海洋权益工作领导小组办公室主任",67.0
杨振武,男,汉族,河北,1955-05-01 00:00:00,中央党校,"中央党校研究生学历,高级编辑",人民日报社社长,62.0
杨晓渡,男,汉族,上海,1953-10-01 00:00:00,中央党校,中央党校研究生学历,"中央政治局委员、中央书记处书记,中央纪律检查委员会副书记、监察部部长、国家预防腐败局局长",64.0
肖捷,男,汉族,辽宁,1957-06-01 00:00:00,财政部财政科学研究所,经济学博士,"中央国家机关工委书记,国务院机关党组书记、副秘书长,财政部党组书记、部长",60.0
肖亚庆,男,汉族,北京,1905-05-12 00:00:00,中南矿冶学院（现中南大学）,教授级高级工程师,国务院国有资产监督管理委员会主任、党委副书记,62.0
吴社洲,男,汉族,湖北,1905-05-11 00:00:00,,军人,中国人民解放军西部战区政委,61.0
吴英杰,男,汉族,山东,1956-12-01 00:00:00,中央党校,中央党校研究生学历,"西藏自治区党委书记,西藏军区党委第一书记",61.0
吴政隆,男,汉族,江苏,1964-11-01 00:00:00,中北大学,"工学学士学位,高级工程师","江苏省委副书记、省长、省政府党组书记,江苏省总河长",53.0
邱学强,男,汉族,山东,1957-08-01 00:00:00,中央党校,中央党校研究生学历,"最高人民检察院副检察长、党组副书记、检察官遴选委员会副主任、检察委员会委员,一级大检察官",60.0
何平,男,汉族,,,,,中国人民解放军东部战区政委,
何立峰,男,汉族,广东,1955-02-01 00:00:00,厦门大学,经济学博士,国家发展和改革委员会主任、党组书记,62.0
应勇,男,汉族,浙江,1957-11-01 00:00:00,中央党校,法学硕士,"上海市委副书记、市长,上海国际旅游度假区管委会主任,中国浦东干部学院第一副院长,上海市总河长",60.0
魏凤和,男,汉族,山东,1954-02-01 00:00:00,国防大学,合同战役指挥专业,中国共产党中央军事委员会委员、中华人民共和国中央军事委员会委员,63.0
穆虹,男,汉族,辽宁,1956-12-01 00:00:00,,,"中央全面深化改革领导小组办公室常务副主任,兼任国家发展和改革委员会副主任、党组成员",61.0
潘立刚,男,汉族,北京,1956-05-01 00:00:00,大连海运学院,工学学士,十二届全国政协常务副秘书长、机关党组副书记,61.0
黎火辉,男,汉族,江西,1905-05-16 00:00:00,,,中央军委训练管理部部长,54.0
雒树刚,男,汉族,河北,1955-05-01 00:00:00,中央党校,中央党校研究生,"文化部党组书记、部长,中国思想政治工作研究会会长",62.0
